name,type,base power,accuracy,pp,imp/exp,effects,priority,description
take down,normal,90,85,20,,,1,user recieves recoil damage.
teleport,psychic,0,101,20,,,1,flee from wild battles.
thunder,electric,110,70,10,exp,1,1,may paralyze opponent.
thunder punch,electric,75,100,15,exp,1,1,may paralyze opponent.
thunder shock,electric,40,100,30,exp,1,1,may paralyze opponent.
thunder wave,electric,0,100,20,exp,1,1,paralyzes opponent.
thunderbolt,electric,90,100,15,exp,1,1,may paralyze opponent.
toxic,poison,0,90,10,exp,5,1,badly poisons the target.
transform ,normal,0,101,10,,,1,user copies form and attacks of opponent.
tri attack,normal,80,100,10,exp,1|2|3,1,"may paralyze, burn or freeze opponent."
twineedle,bug,25,100,20,exp,5,1,hits twice in one turn. May poison opponent.
vice grip,normal,55,100,30,,,1,
vine whip,grass,45,100,25,,,1,
water gun,water,40,100,25,,,1,
waterfall,water,80,100,15,,,1,may cause flinching.
whirlwind,normal,0,101,20,,,1,"opponent switches. in wild, battle ends."
wing attack,flying,60,100,35,,,1,
withdraw,water,0,101,40,,,1,raises user's defense.
wrap,normal,15,90,20,imp ,6,1,traps opponent for 4-5 turns.
